,N,alpha,alpha minus,alpha plus
0,5,0.123456789,0.07980822265729162,0.16710535534270837
1,25,0.123456789,0.1056373364093908,0.14127624159060923
2,125,0.123456789,0.11561727505898213,0.13129630294101785
3,625,0.123456789,0.11996210682765161,0.12695147117234837
4,3125,0.123456789,0.12189492049764122,0.1250186575023588
5,15625,0.123456789,0.12275838958937793,0.12415518841062208
6,78125,0.123456789,0.12314446328442837,0.12376911471557162
7,390625,0.123456789,0.12331711340891846,0.12359646459108153
8,1953125,0.123456789,0.1233943242406729,0.12351925375932711
9,9765625,0.123456789,0.12342885391611039,0.1234847240838896
