,N,alpha,alpha minus,alpha plus
0,1953125,0.123456789,0.1233943242406729,0.12351925375932711
1,2335572,0.123456789,0.12339966699508295,0.12351391100491703
2,2792908,0.123456789,0.12340455278002715,0.12350902521997283
3,3339796,0.123456789,0.12340902066826205,0.12350455733173793
4,3993772,0.123456789,0.12341310640804738,0.12350047159195261
5,4775806,0.123456789,0.12341684268830712,0.12349673531169288
6,5710972,0.123456789,0.12342025939283267,0.12349331860716732
7,6829255,0.123456789,0.12342338385613293,0.12349019414386708
8,8166513,0.123456789,0.12342624107771603,0.12348733692228396
9,9765625,0.123456789,0.12342885391611039,0.1234847240838896
